sensor_A,sensor_B,dist_km,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,z_dist_km,z_pearson_r,z_spearman_r,mahal,outlier_mahal,outlier_z,weight,w_dist,w_corr
CHST,GBIT,725.2115,31252,-0.049687,0.0,-0.124522,0.0,0.1176085672476445,0.3900525838777038,0.5680549395105179,0.8497863946208296,False,False,,,
NBRT,MNKT,733.8448,31258,-0.499107,0.0,-0.832437,0.0,0.0998836053639437,1.2760713965122714,1.8637139576256463,2.686915423382512,False,False,,,
CHST,LOTT,751.2367,31273,-0.501125,0.0,-0.500997,0.0,0.0641764291294637,1.280049826408352,1.2570970262651326,1.3451221485590106,False,False,,,
NAPT,CHIT,751.7647,31321,0.886932,0.0,0.887223,0.0,0.0630923963871065,1.4564652708483343,1.283687901484362,1.517484374110297,False,False,0.2691207459737087,1.3400257232220573e-05,0.8970378859788204
CHIT,GIST,756.548,31291,0.109683,0.0,0.59038,0.0,0.0532718399164282,0.0758591386158751,0.7403920115620565,2.83267941051379,False,False,,,
NBRT,AUCT,762.3057,31318,0.198147,0.0,0.206367,0.0,0.041450750293945,0.0985451340931818,0.0375535259762943,0.225448747446344,False,False,,,
CPIT,NCPT,773.4184,31296,0.281054,0.0,0.302204,0.0,0.0186353513242576,0.2619939385502467,0.2129588688763593,0.2923890620941309,False,False,,,
WLGT,NCPT,778.802,31295,0.100714,0.0,0.110844,0.0,0.0075823235368424,0.0935412683175338,0.1372771194930224,0.1990517365562656,False,False,,,
WLGT,CHIT,784.9026,31321,0.847127,0.0,0.856556,0.0,0.0049427714404784,1.3779908397217289,1.2275597291634808,1.4387559327559758,False,False,,,
NBRT,LOTT,805.0055,31314,0.494855,0.0,0.506857,0.0,0.0462158809411153,0.683496560062603,0.5875243252296156,0.7400113085591696,False,False,,,
CHIT,KAIT,823.7799,31322,0.942597,0.0,0.951267,0.0,0.0847614573011806,1.5662072431800131,1.400904214397869,1.650950000622074,False,False,,,
CHST,NCPT,844.4838,31255,0.039329,0.0,0.040992,0.0,0.127268475283175,0.2145600587887476,0.2651235046287774,0.2991185999719832,False,False,,,
NBRT,GBIT,846.7387,31293,0.018814,0.000874,0.083494,0.0,0.1318979931444282,0.2550048007699638,0.1873343638591522,0.3390363270922205,False,False,,,
WLGT,PUYT,846.9764,31316,-0.657665,0.0,-0.677438,0.0,0.1323860131877206,1.5886640067514948,1.580027565687593,1.6250258324964066,False,False,,,
CHIT,LOTT,854.2296,31314,0.659906,0.0,0.657802,0.0,0.1472775023673921,1.0088899360675605,0.863790897472594,1.1178759395005282,False,False,,,
OTAT,NAPT,872.024,31318,0.52571,0.0,0.524833,0.0,0.1838110482586881,0.7443263194499012,0.6204248380166558,0.8671000025011376,False,False,,,
NBRT,CHIT,876.3543,31322,0.931315,0.0,0.953165,0.0,0.1927015539106391,1.5439650994299727,1.4043780224346851,1.6510287579404537,False,False,,,
NCPT,KAIT,891.1636,31296,0.076499,0.0,0.085223,0.0,0.2231064139322172,0.1412804555987986,0.1841698674968473,0.2746195459877843,False,False,,,
CHIT,TAUT,946.1426,31322,0.463562,0.0,0.461763,0.0,0.3359833763224951,0.6218032960695151,0.5049911852864253,0.8252579692628658,False,False,,,
CPIT,PUYT,967.1006,31317,-0.866417,0.0,-0.871479,0.0,0.379012085061749,2.0002126676368386,1.9351704451774725,1.998713043334266,False,False,,,
RBCT,GBIT,985.9885,31291,-0.085378,0.0,-0.023993,2.2e-05,0.417790687399575,0.460416380419336,0.3840620795879343,0.6138703472770755,False,False,,,
GBIT,RFRT,988.0044,31216,-0.088363,0.0,-0.085095,0.0,0.4219295161975262,0.4663012234519428,0.4958938070197172,0.5741178218137183,False,False,,,
RBCT,LOTT,989.6142,31312,0.562469,0.0,0.559747,0.0,0.4252345842063271,0.816795647770034,0.6843260676253964,1.0575257287889317,False,False,,,
